sentence,actual_intent,predicted_intent,confidence,correct
Product repair request bhejo.,warranty_claim,product_information,9.29,False
Please mera account unlock kar do.,account_locked,account_locked,53.5,True
Quantity badalni hai.,modify_order,product_recommendation,10.96,False
Quantity change kar do.,modify_order,product_information,7.04,False
Mujhe order abhi tak nahi mila.,order_not_received,delivery_delay,16.96,False
Is this product currently available?,product_availability,product_information,41.39,False
Please change my delivery slot.,change_delivery_slot,reschedule_delivery,31.76,False
Mera last order fir se place karo.,reorder_product,reorder_product,10.67,True
Can you check mera payment?,payment_failed,payment_status,22.34,False
Delivery executive ka number chahiye.,delivery_agent_contact,delivery_agent_contact,19.72,True
Ye product out of stock hai kya?,product_availability,product_information,33.34,False
Order history dekhni hai.,order_history,order_history,20.52,True
Please update my email address.,change_email,change_email,42.58,True
Mera address change kar do.,update_address,update_address,40.61,True
Has my money been refunded?,refund_status,refund_status,38.55,True
Mera invoice bhejo.,invoice_request,invoice_request,35.41,True
Offer apply nahi hua.,promo_code_issue,promo_code_issue,15.32,True
Naye address par delivery karo.,update_address,update_address,39.24,True
Login page error dikha raha hai.,login_issue,login_issue,29.85,True
Can you lodge a complaint for me?,raise_complaint,complaint_status,30.72,False
Meri complaint track karo.,complaint_status,complaint_status,32.88,True
Mera account unlock karo.,account_locked,account_locked,57.67,True
Refund process kis stage mein hai?,refund_status,refund_status,50.52,True
Temporary disable kar do.,deactivate_account,login_issue,6.41,False
Mere old orders dikhao.,order_history,order_history,25.29,True
Account login issue hai.,login_issue,login_issue,33.51,True
Cashback credit kar do.,cashback_query,cashback_query,37.37,True
Mera account delete kar do.,delete_account,delete_account,15.22,True
Product change ho gaya lagta hai.,wrong_delivery,damaged_package,7.27,False
Is this model available?,product_availability,product_information,39.73,False
Connect me to a support executive.,speak_to_agent,speak_to_agent,13.87,True
Order cancel karke refund do.,refund_request,refund_request,38.99,True
Give me the contact details of the delivery executive.,delivery_agent_contact,delivery_agent_contact,22.88,True
Office use ke liye laptop batao.,product_recommendation,product_recommendation,41.68,True
The item is defective.,damaged_package,damaged_package,8.4,True
Payment type change karo.,payment_method_change,payment_method_change,18.19,True
Can you update mera address?,update_address,update_address,41.05,True
Return pickup arrange karo.,return_order,return_order,16.76,True
Mera password reset karo.,reset_password,reset_password,46.87,True
Please provide my purchase receipt.,invoice_request,invoice_request,14.29,True
Change my phone number.,change_phone,change_phone,32.34,True
Verification email bhejo.,account_verification,change_email,20.73,False
Password recover karna hai.,reset_password,reset_password,44.77,True
Fitness ke liye smartwatch bataiye.,product_recommendation,product_recommendation,47.27,True
Mujhe confirm karo ki order place ho gaya.,order_confirmation,order_confirmation,16.73,True
warranty support.,warranty_claim,warranty_claim,47.57,True
Where is my order?,order_status,order_status,46.67,True
I placed the order by mistake.,cancel_order,delivery_delay,9.2,False
Kya payment ke baad order confirm hua?,order_confirmation,payment_status,10.17,False
Kitna cashback mila?,cashback_query,cashback_query,39.15,True
Can you change mera phone number?,change_phone,change_phone,31.43,True
charged twice.,duplicate_payment,duplicate_payment,11.75,True
Wallet funds check karo.,wallet_balance,wallet_balance,60.95,True
Complaint tracking karo.,complaint_status,complaint_status,31.62,True
The parcel arrived without one product.,missing_package,delivery_delay,8.14,False
Can you confirm my order?,order_confirmation,order_confirmation,26.02,True
erase account.,delete_account,reactivate_account,24.94,False
I am having trouble logging in.,login_issue,login_issue,14.17,True
Mera order nahi aaya.,order_not_received,delivery_delay,12.56,False
Dusra mobile number use karna hai.,change_phone,change_phone,28.88,True
Please change my payment option.,payment_method_change,payment_method_change,20.74,True
The promotional code failed.,promo_code_issue,promo_code_issue,11.49,True
Real person se connect karo.,speak_to_agent,speak_to_agent,17.12,True
Package safe jagah par rakhna.,delivery_instructions,delivery_delay,13.08,False
thanks.,general_query,general_query,15.05,True
The app is stuck on the loading screen.,technical_support,damaged_package,10.16,False
Mera order kahan hai?,order_status,order_status,48.49,True
Refund status batao.,refund_status,refund_status,49.7,True
Available wallet balance batao.,wallet_balance,wallet_balance,61.82,True
Bring my account back.,reactivate_account,reactivate_account,35.03,True
Can you check my refund?,refund_status,refund_status,40.99,True
Warranty repair kar do.,warranty_claim,warranty_claim,46.02,True
Package phata hua hai.,damaged_package,delivery_delay,11.97,False
Problem report karni hai.,raise_complaint,raise_complaint,11.45,True
Disable account for now.,deactivate_account,reactivate_account,23.41,False
Refund abhi tak receive nahi hua.,refund_status,refund_status,35.2,True
Gift ke liye product suggest karo.,product_recommendation,product_recommendation,28.01,True
Please mera parcel track karo.,track_shipment,track_shipment,55.93,True
send invoice.,invoice_request,invoice_request,34.96,True
Have a nice day.,general_query,reschedule_delivery,16.73,False
Refund amount kab aayega?,refund_status,refund_status,50.76,True
Mera account reopen karo.,reactivate_account,reactivate_account,37.53,True
My shipment is delayed again.,delivery_delay,delivery_delay,40.05,True
Is my parcel on the way?,order_status,track_shipment,20.61,False
Help me unlock my account.,account_locked,account_locked,55.48,True
I received a broken item.,damaged_package,damaged_package,23.91,True
My account was locked after several login attempts.,account_locked,account_locked,51.35,True
Password update karna hai.,reset_password,reset_password,45.14,True
Product explain karo.,product_information,product_information,21.75,True
Mera refund verify karo.,refund_status,refund_request,36.48,False
duplicate transaction.,duplicate_payment,duplicate_payment,13.95,True
I need to change my personal profile.,profile_update,profile_update,16.48,True
How much wallet credit do I have?,wallet_balance,wallet_balance,61.28,True
Reactivate my membership account.,reactivate_account,reactivate_account,33.92,True
Bye Vani.,general_query,general_query,27.01,True
Package mein saman kam nikla.,missing_package,delivery_instructions,9.26,False
Refund pending hai kya?,refund_status,refund_status,50.58,True
Update my payment method.,payment_method_change,payment_method_change,25.49,True
Delivery partner se contact karna hai.,delivery_agent_contact,delivery_agent_contact,21.09,True
Deactivate my profile.,deactivate_account,reactivate_account,29.49,False
Which air conditioner is energy efficient?,product_recommendation,product_information,34.71,False
Product pasand nahi aaya.,return_order,delivery_delay,5.86,False
Can you locate my package?,track_shipment,track_shipment,52.63,True
Deliver it next week.,reschedule_delivery,reschedule_delivery,38.87,True
See you.,general_query,general_query,26.3,True
Delivery vehicle nikal chuka hai kya?,delivery_status,delivery_status,18.77,True
Is my order arriving today?,delivery_status,order_status,40.46,False
The expected delivery date has passed.,delivery_delay,delivery_delay,31.72,True
Please check where my package is.,order_status,track_shipment,17.36,False
You are awesome.,general_query,general_query,14.81,True
Parcel incomplete deliver hua.,missing_package,missing_package,11.78,True
Mere order ki current sthiti kya hai?,order_status,order_status,49.93,True
Can you issue my refund?,refund_request,refund_status,36.57,False
Mera voucher invalid hai.,promo_code_issue,promo_code_issue,11.75,True
Mera order replace kar do.,exchange_order,modify_order,11.58,False
I want a different size.,exchange_order,product_recommendation,8.63,False
Can you reorder my previous order?,reorder_product,reorder_product,9.09,True
Support complaint bhejo.,raise_complaint,complaint_status,28.88,False
Delivery partner ko connect karo.,delivery_agent_contact,delivery_agent_contact,20.32,True
Delivery itni slow kyun hai?,delivery_delay,delivery_delay,24.39,True
package delivered?,delivery_status,delivery_status,20.6,True
Specification batao.,product_information,product_information,8.71,True
Mujhe apna email update karna hai.,change_email,change_email,44.74,True
Package shaam ko deliver karna.,change_delivery_slot,reschedule_delivery,25.17,False
Show me the best products.,product_recommendation,product_recommendation,20.03,True
Did you receive my payment?,payment_status,payment_status,24.06,True
Mera order delay ho gaya.,delivery_delay,delivery_delay,29.27,True
